name,pro,flag
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00019.jpg, -4.846475124359131, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00130.jpg, -3.4296605587005615, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00161.jpg, -8.17413330078125, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00348.jpg, -8.32093334197998, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00366.jpg, -6.225841045379639, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00411.jpg, -5.660802364349365, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00487.jpg, -4.425339698791504, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00510.jpg, -9.841729164123535, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00581.jpg, -4.455183506011963, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00732.jpg, -7.192732810974121, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/00771.jpg, -7.4434380531311035, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/01009.jpg, -5.310741424560547, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/01027.jpg, -8.752373695373535, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/01109.jpg, -12.165424346923828, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02087.jpg, -5.324043273925781, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02135.jpg, -13.54582691192627, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02156.jpg, -6.135042667388916, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02308.jpg, -9.370585441589355, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02419.jpg, -7.068296432495117, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02616.jpg, -8.999833106994629, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02787.jpg, -8.384711265563965, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02876.jpg, -5.059445381164551, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/02998.jpg, -7.45357608795166, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/03100.jpg, -7.639492034912109, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/03308.jpg, -9.076251029968262, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/03362.jpg, -9.12060260772705, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/03377.jpg, -8.806351661682129, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/03527.jpg, -6.461803436279297, 0.0
/dataset-disk/tb_dataset/tf2k_lr/tf_dataset/seasons/autumn_TM01/Real/FFHQ/03532.jpg, -8.848845481872559, 0.0
